JBHT	2017-10-19	2018-03-02	0.92	1.01	-9.3
PBCT	2017-10-19	2018-03-02	0.31	0.268	15.7
IBM	2017-10-19	2018-03-02	5.18	5.174	0.1
AXP	2017-10-19	2018-03-02	1.58	1.54	2.6
RF	2017-10-20	2018-03-05	0.34	0.26	30.8
STI	2017-10-20	2018-03-05	1.09	1.051	3.7
CFG	2017-10-20	2018-03-05	0.71	0.673	5.5
SYF	2017-10-20	2018-03-05	0.7	0.637	9.9
SLB	2017-10-20	2018-03-05	0.48	0.442	8.6
KSU	2017-10-20	2018-03-05	1.38	1.363	1.2
HAL	2017-10-23	2018-03-06	0.53	0.467	13.5
WYNN	2017-10-23	2018-03-06	1.4	1.385	1.1
NFLX	2017-10-23	2018-03-06	0.41	0.414	-1
ZION	2017-10-23	2018-03-06	0.81	0.732	10.8
FITB	2017-10-24	2018-03-07	0.52	0.477	9
JNJ	2017-10-24	2018-03-07	1.74	1.724	0.9
WAT	2017-10-24	2018-03-07	2.51	2.453	2.3
TRV	2017-10-24	2018-03-07	2.28	1.502	51.8
STT	2017-10-24	2018-03-07	1.83	1.699	7.7
VZ	2017-10-24	2018-03-07	0.86	0.884	-2.7
KMB	2017-10-24	2018-03-07	1.57	1.545	1.6
HBAN	2017-10-24	2018-03-07	0.26	0.262	-0.8
PLD	2017-10-24	2018-03-07	0.67	0.663	1.1
TXN	2017-10-24	2018-03-07	1.09	1.085	0.5
UAL	2017-10-24	2018-03-07	1.4	1.338	4.6
TSS	2017-10-24	2018-03-07	0.82	0.785	4.5
COF	2017-10-24	2018-03-07	1.62	1.872	-13.5
NAVI	2017-10-24	2018-03-07	0.43	0.416	3.4
UTX	2017-10-25	2018-03-08	1.6	1.566	2.2
SWK	2017-10-25	2018-03-08	2.18	2.147	1.5
GE	2017-10-25	2018-03-08	0.27	0.284	-4.9
BHGE	2017-10-25	2018-03-08	0.15	0.139	7.9
CMCSA	2017-10-25	2018-03-08	0.49	0.469	4.5
NTRS	2017-10-25	2018-03-08	1.38	1.307	5.3
GD	2017-10-25	2018-03-08	2.5	2.381	5
ABT	2017-10-25	2018-03-08	0.74	0.732	1.1
RCL	2017-10-25	2018-03-08	1.34	1.205	11.2
ITW	2017-10-25	2018-03-08	1.7	1.615	5.3
NSC	2017-10-25	2018-03-08	1.69	1.572	7.5
APH	2017-10-25	2018-03-08	0.86	0.815	5.5
GWW	2017-10-25	2018-03-08	2.94	2.2	33.6
SLG	2017-10-25	2018-03-08	1.6	1.603	-0.2
AMP	2017-10-25	2018-03-08	1.18	0.937	25.9
F	2017-10-25	2018-03-08	0.39	0.392	-0.5
URI	2017-10-25	2018-03-08	3.34	3.354	-0.4
DFS	2017-10-25	2018-03-08	1.56	1.542	1
CCI	2017-10-25	2018-03-08	1.05	0.93	12.9
WHR	2017-10-25	2018-03-08	4.1	3.993	2.7
PX	2017-10-26	2018-03-09	1.52	1.48	2.7
ALK	2017-10-26	2018-03-09	0.83	0.823	0.9
NOC	2017-10-26	2018-03-09	2.72	2.694	1
BIIB	2017-10-26	2018-03-09	5.26	5.445	-3.4
MKC	2017-10-26	2018-03-09	1.54	1.515	1.7
LUV	2017-10-26	2018-03-09	0.77	0.765	0.7
RTN	2017-10-26	2018-03-09	1.94	2.037	-4.8
AEP	2017-10-26	2018-03-09	0.85	0.792	7.3
SHW	2017-10-26	2018-03-09	3.16	3.162	-0.1
LLL	2017-10-26	2018-03-09	2.35	2.22	5.9
CAT	2017-10-26	2018-03-09	2.16	1.77	22
MMM	2017-10-26	2018-03-09	2.1	2.023	3.8
AAL	2017-10-26	2018-03-09	0.95	0.919	3.4
CELG	2017-10-26	2018-03-09	2	2.005	-0.2
ADS	2017-10-26	2018-03-09	6.26	4.993	25.4
UNP	2017-10-26	2018-03-09	1.53	1.544	-0.9
FCX	2017-10-26	2018-03-09	0.51	0.485	5.2
INTC	2017-10-26	2018-03-09	1.08	0.865	24.9
ETFC	2017-10-26	2018-03-09	0.64	0.609	5.7
ISRG	2017-10-26	2018-03-09	2.54	2.355	7.9
SIVB	2017-10-26	2018-03-09	2.83	2.557	10.5
AJG	2017-10-26	2018-03-09	0.82	0.744	10.2
PKI	2017-10-26	2018-03-09	0.97	0.94	3.2
HON	2017-10-27	2018-03-12	1.85	1.841	0.5
CL	2017-10-27	2018-03-12	0.75	0.756	-0.8
NEE	2017-10-27	2018-03-12	1.25	1.308	-4.4
ABBV	2017-10-27	2018-03-12	1.48	1.447	2.3
LMT	2017-10-30	2018-03-13	4.3	4.053	6.1
D	2017-10-30	2018-03-13	0.91	0.892	2
AMG	2017-10-30	2018-03-13	4.68	4.526	3.4
ARE	2017-10-30	2018-03-13	1.53	1.538	-0.5
PFG	2017-10-30	2018-03-13	1.19	1.363	-12.7
DHR	2017-10-31	2018-03-14	1.19	1.158	2.8
AET	2017-10-31	2018-03-14	1.25	1.172	6.7
PHM	2017-10-31	2018-03-14	0.85	0.855	-0.6
DOV	2017-10-31	2018-03-14	1.13	1.043	8.3
PFE	2017-10-31	2018-03-14	0.62	0.562	10.3
HOG	2017-10-31	2018-03-14	0.48	0.455	4.6
AOS	2017-10-31	2018-03-14	0.6	0.563	6.6
ZBH	2017-10-31	2018-03-14	2.1	2.098	0.1
PNR	2017-10-31	2018-03-14	0.93	0.933	-0.3
GLW	2017-10-31	2018-03-14	0.49	0.47	4.3
TROW	2017-10-31	2018-03-14	1.52	1.459	4.2
PCAR	2017-10-31	2018-03-14	1.18	1.124	5
MCD	2017-10-31	2018-03-14	1.71	1.589	7.6
HCA	2017-10-31	2018-03-14	2.13	1.875	13.6
NUE	2017-10-31	2018-03-14	0.65	0.554	17.7
ALGN	2017-10-31	2018-03-14	1.19	0.958	24.2
AMD	2017-10-31	2018-03-14	0.08	0.049	63.3
SYK	2017-10-31	2018-03-14	1.96	1.964	-0.2
ILMN	2017-10-31	2018-03-14	1.44	1.253	14.9
CB	2017-10-31	2018-03-14	2.28	2.319	-1.7
RHI	2017-10-31	2018-03-14	0.65	0.63	3.2
CHRW	2017-10-31	2018-03-14	0.86	0.84	2.2
JNPR	2017-10-31	2018-03-14	0.53	0.518	2.3
EQR	2017-10-31	2018-03-14	0.82	0.812	1
PKG	2017-10-31	2018-03-14	1.56	1.513	3.1
BXP	2017-10-31	2018-03-14	1.49	1.465	1.7
XRX	2017-11-01	2018-03-15	1.04	0.961	8.2
ANTM	2017-11-01	2018-03-15	1.29	1.257	2.6
TMO	2017-11-01	2018-03-15	2.79	2.664	4.7
LLY	2017-11-01	2018-03-15	1.14	1.074	6.1
TXT	2017-11-01	2018-03-15	0.74	0.771	-4
IR	2017-11-01	2018-03-15	1.02	1.028	-0.8
AVY	2017-11-01	2018-03-15	1.33	1.249	6.5
IVZ	2017-11-01	2018-03-15	0.73	0.696	4.9
WEC	2017-11-01	2018-03-15	0.71	0.679	4.6
SPG	2017-11-01	2018-03-15	3.12	3.116	0.1
NDAQ	2017-11-01	2018-03-15	1.05	1.006	4.4
BA	2017-11-01	2018-03-15	3.06	2.903	5.4
TSCO	2017-11-01	2018-03-15	0.91	0.871	4.5
VRTX	2017-11-01	2018-03-15	0.61	0.53	15.1
FB	2017-11-01	2018-03-15	2.21	1.946	13.6
CDNS	2017-11-01	2018-03-15	0.39	0.39	0
MDLZ	2017-11-01	2018-03-15	0.57	0.557	2.3
T	2017-11-01	2018-03-15	0.78	0.651	19.8
PYPL	2017-11-01	2018-03-15	0.55	0.52	5.8
DRE	2017-11-01	2018-03-15	0.3	0.3	0
UNM	2017-11-01	2018-03-15	1.13	1.076	5
LNC	2017-11-01	2018-03-15	1.98	1.937	2.2
CTXS	2017-11-01	2018-03-15	1.66	1.601	3.7
AVB	2017-11-01	2018-03-15	2.25	2.247	0.1
AFL	2017-11-01	2018-03-15	0.8	0.777	3
MAA	2017-11-01	2018-03-15	1.5	1.477	1.6
EBAY	2017-11-01	2018-03-15	0.59	0.586	0.7
DWDP	2017-11-02	2018-03-16	0.83	0.671	23.7
CI	2017-11-02	2018-03-16	1.94	1.873	3.6
ETN	2017-11-02	2018-03-16	1.29	1.241	3.9
BSX	2017-11-02	2018-03-16	0.34	0.348	-2.3
IDXX	2017-11-02	2018-03-16	0.78	0.728	6.8
MPC	2017-11-02	2018-03-16	1.04	1.002	3.8
DGX	2017-11-02	2018-03-16	1.4	1.374	1.9
APTV	2017-11-02	2018-03-16	1.28	1.33	-3.8
VLO	2017-11-02	2018-03-16	1.16	1.079	7.5
AME	2017-11-02	2018-03-16	0.7	0.669	4.6
XYL	2017-11-02	2018-03-16	0.76	0.761	-0.1
